full_name,season,games_started,games_played,avg_turnovers,avg_steals,avg_twos_made,avg_two_twos_pct,avg_threes_made,avg_threes_pct,avg_free_throws_made,avg_free_throws_pct,avg_minutes,avg_points,avg_rebounds,avg_assists
Milos Cabarkapa,2015,33,33,0.0,0.0,0.1,0.1,0.0,0.0,0.4,22.2,2.1,0.7,0.6,0.1
Mladen Djordjevic,2017,39,39,0.4,0.1,0.3,17.8,0.1,2.9,0.1,4.6,4.8,0.9,0.6,0.6
Jamir Andrews,2016,35,35,0.1,0.1,0.1,12.5,0.1,3.1,0.0,0.0,3.5,0.6,0.6,0.3
David Kachelries,2017,30,30,0.5,0.5,1.2,29.7,0.2,20.0,0.1,6.7,6.7,3.1,0.6,0.5
Glenn Sanabria,2015,32,32,1.3,0.9,0.6,0.3,1.3,23.6,0.9,18.2,24.2,6.4,0.6,2.4
Dondre Rhoden,2015,33,33,0.2,0.2,0.2,0.1,0.0,0.0,0.1,5.2,4.3,0.6,0.6,0.0
Chris Williams,2016,29,29,0.4,0.2,0.7,37.1,0.3,14.2,0.4,15.2,9.3,2.7,0.6,0.1
Johnnie Shuler,2014,33,33,0.4,0.1,0.1,0.1,0.4,16.7,0.3,14.1,6.2,1.8,0.6,0.2
Gabe DeVoe,2014,31,31,0.1,0.2,0.2,0.1,0.3,7.5,0.1,4.3,8.5,1.5,0.6,0.3
Jordan Abdur-Ra'oof,2014,30,30,0.1,0.2,0.3,0.1,0.2,10.5,0.1,7.4,6.4,1.3,0.6,0.1
Matt Hanessian,2014,28,28,0.7,0.0,0.1,0.1,0.0,0.0,0.0,0.0,3.6,0.3,0.6,0.0
Sam Frayer,2017,31,31,0.0,0.0,0.2,15.0,0.1,5.0,0.0,0.0,1.4,0.8,0.6,0.0
Kevin McAdoo,2017,35,35,0.7,0.1,0.9,41.4,0.8,24.2,0.5,26.8,11.4,4.6,0.6,0.6
Kory Kuenstling,2017,34,34,0.3,0.0,0.2,11.7,0.0,0.0,0.3,9.3,3.9,0.7,0.6,0.1
Jordan Swopshire,2013,32,32,0.2,0.0,0.0,0.0,0.4,10.0,0.0,0.0,5.6,1.2,0.6,0.2
Trey Knight III,2016,31,31,0.2,0.3,0.1,10.0,0.1,8.0,0.1,4.0,5.8,0.6,0.6,0.4
Wyatt Lohaus,2016,30,30,0.1,0.1,0.3,7.0,0.2,5.9,0.1,7.1,6.8,1.3,0.6,0.1
Luke McDonnell,2017,32,32,0.2,0.1,0.4,20.2,0.0,0.0,0.0,0.0,2.5,0.8,0.6,0.1
Dondre Duffus,2017,31,31,2.0,1.0,0.3,16.7,0.7,22.2,1.7,19.4,4.8,5.7,0.6,1.0
New Williams,2015,31,31,0.2,0.1,0.1,0.1,0.1,7.5,0.1,3.4,6.4,0.6,0.6,0.2
Kory Holden,2017,33,33,0.7,0.0,0.4,12.6,0.1,6.5,0.3,8.1,4.9,1.5,0.6,0.7
Ryan Edwards,2013,36,36,0.1,0.0,0.1,7.2,0.0,0.0,0.5,15.2,2.3,0.8,0.6,0.0
Shawn Olden,2015,32,32,0.3,0.3,0.3,0.2,0.4,12.4,0.4,9.8,20.4,2.3,0.6,0.2
Frankie Ferrari,2014,32,32,0.4,0.1,0.2,0.2,0.0,1.7,0.1,6.7,8.9,0.7,0.6,0.4
Kobe Wilson,2016,32,32,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.6,0.0
Aaron Cheatum,2014,31,31,0.1,0.1,0.1,0.1,0.0,0.0,0.1,6.1,5.8,0.4,0.6,0.1
Brian Ishola,2015,33,33,0.3,0.1,0.2,0.2,0.0,0.0,0.0,0.0,4.9,0.5,0.6,0.1
Daniel Venzant,2017,32,32,0.4,0.1,0.6,19.3,0.1,8.0,0.2,4.3,5.5,1.6,0.6,0.5
Blair Orr,2017,30,30,0.2,0.0,0.5,20.0,0.0,0.0,0.2,10.0,3.8,1.2,0.6,0.0
Seth Dittmer,2017,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.2,11.1,1.3,0.2,0.6,0.0
Alex Prahl,2014,30,30,0.2,0.0,0.1,0.1,0.0,0.0,0.1,7.5,4.4,0.5,0.6,0.0
Alan Vest,2015,35,35,0.3,0.1,0.2,0.1,0.3,18.1,0.1,6.3,10.2,1.3,0.6,0.3
Chris Vogt,2017,32,32,0.2,0.2,0.4,18.6,0.0,0.0,0.2,4.8,3.6,1.1,0.6,0.3
Alan Flannigan,2014,33,33,0.2,0.0,0.2,0.1,0.1,5.3,0.2,7.9,3.4,0.6,0.6,0.2
Will Goff,2014,30,30,0.3,0.2,0.1,3.6,0.3,16.7,0.5,10.4,8.8,1.5,0.6,0.3
Ryan Hiepler,2015,32,32,0.3,0.1,0.1,0.1,0.2,15.2,0.3,11.6,11.3,1.0,0.6,0.6
Justin Jenkins,2017,32,32,0.3,0.2,0.6,33.8,0.3,13.3,0.6,22.7,7.0,2.7,0.6,0.3
Alex Schulz,2017,32,32,0.0,0.0,0.0,0.0,0.0,0.0,0.3,10.0,0.4,0.3,0.6,0.0
Jonathan Jean,2015,35,35,0.8,0.1,0.5,0.3,0.1,5.8,0.3,13.0,7.1,1.5,0.6,0.8
Gerald Smith,2015,33,33,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10.3,0.0,0.6,0.3
Charlendez Brooks,2015,34,34,0.3,0.1,0.3,0.2,0.0,0.0,0.1,3.1,6.3,0.7,0.6,0.3
Dajuan Jones,2017,36,36,0.8,0.1,0.5,30.4,0.2,10.8,0.3,16.7,5.4,1.9,0.6,1.0
Bryce Jackson,2014,29,29,0.6,0.0,0.3,0.2,0.1,4.3,0.3,14.1,6.9,1.1,0.6,0.1
Fred Haywood,2017,29,29,0.0,0.3,0.5,24.0,0.0,0.0,0.2,6.7,1.9,1.2,0.6,0.0
Tyquon Jordan,2016,31,31,0.1,0.0,0.0,0.0,0.0,0.0,0.3,7.1,1.1,0.3,0.6,0.0
Akoy Agau,2013,37,37,0.2,0.0,0.2,16.2,0.0,0.0,0.1,2.0,2.6,0.5,0.6,0.0
Souf Mensah,2017,34,34,0.5,0.1,0.2,7.1,0.0,0.0,0.1,5.1,5.3,0.5,0.6,0.4
Rawane Ndiaye,2013,37,37,0.2,0.0,0.2,14.9,0.0,0.0,0.1,6.8,1.9,0.5,0.6,0.0
Russell Byrd,2013,38,38,0.2,0.1,0.1,5.3,0.2,9.2,0.1,2.6,4.6,0.7,0.6,0.1
Deshaun Morman,2014,34,34,0.6,0.4,0.7,0.2,0.1,8.8,0.8,20.0,10.0,2.5,0.6,0.5
Ria'n Holland,2014,35,35,0.2,0.2,0.1,0.1,0.3,14.6,0.1,5.7,8.8,1.4,0.6,0.3
Javin DeLaurier,2016,37,37,0.2,0.1,0.2,17.6,0.0,0.0,0.0,1.4,2.3,0.5,0.6,0.0
Miles Overton,2013,33,33,0.5,0.2,0.3,20.2,0.5,20.9,0.5,21.0,7.8,2.6,0.6,0.6
Aarias Austin,2015,25,25,0.3,0.1,0.3,0.1,0.4,7.8,0.2,8.0,13.4,2.0,0.6,0.3
Riley Norris,2017,36,36,0.1,0.1,0.3,13.4,0.2,6.4,0.1,6.2,4.6,1.2,0.6,0.2
Jaaron Simmons,2017,41,41,0.5,0.0,0.3,15.9,0.1,11.0,0.2,7.6,6.4,1.2,0.6,0.9
D'Mitrik Trice,2017,33,33,0.4,0.2,0.7,13.0,0.4,11.1,0.4,10.1,9.5,2.8,0.6,0.7
Chase Harler,2017,37,37,0.2,0.4,0.2,9.5,0.3,10.8,0.2,7.2,8.9,1.5,0.6,0.7
Gabe Bealer,2015,36,36,0.1,0.1,0.4,0.2,0.2,9.5,0.4,11.6,6.6,1.8,0.6,0.1
Deleon Brown,2016,34,34,0.5,0.3,0.5,25.2,0.5,21.9,0.6,24.8,10.9,2.9,0.6,0.5
Viont'e Daniels,2015,31,31,0.4,0.2,0.2,0.1,0.4,16.5,0.0,0.0,10.1,1.6,0.6,0.4
Anthony Swan,2015,38,38,0.2,0.0,0.2,0.1,0.1,9.2,0.0,0.0,3.7,0.6,0.6,0.1
Terrel Martin-Garcia,2016,35,35,0.3,0.1,0.4,22.4,0.1,2.9,0.2,4.4,2.4,1.2,0.6,0.0
Oliver Ehrnvall,2016,32,32,0.2,0.0,0.0,0.0,0.1,3.0,0.0,0.0,3.8,0.3,0.6,0.1
Dekeba Battee-Aston,2014,31,31,0.3,0.1,0.0,0.0,0.0,0.0,0.1,3.7,4.2,0.1,0.6,0.1
Darcy Malone,2013,34,34,0.2,0.0,0.3,14.5,0.1,8.1,0.0,1.6,2.4,0.8,0.6,0.1
Keshon Montague,2016,33,33,0.5,0.1,0.2,16.7,0.4,17.0,0.1,6.2,9.4,1.8,0.6,0.7
John Rinaldi,2014,32,32,0.1,0.2,0.1,0.1,0.0,0.0,0.2,11.4,5.4,0.4,0.6,0.1
Zach Chionuma,2015,31,31,0.2,0.0,0.2,0.1,0.3,8.2,0.0,0.0,7.0,1.3,0.6,0.1
Myles Tate,2014,31,31,0.3,0.1,0.0,0.0,0.1,3.3,0.0,0.0,5.1,0.5,0.6,0.3
Mike Washington Jr.,2015,29,29,0.3,0.0,0.3,0.2,0.1,2.5,0.0,0.0,3.4,0.8,0.6,0.3
